miR,GSM1021014,GSM1021015,GSM1021016,GSM1021017,GSM1021019,GSM1021020,GSM1021021,GSM1021022,GSM1021023,GSM1021024,GSM1021026,GSM1021038,GSM1021039,GSM1021040,GSM1021042,GSM1021043,GSM1021044,GSM1021045,GSM1021046,GSM1021047,GSM1021048,GSM1021049,GSM1021051,GSM1021052,GSM1021055,GSM1021060,GSM1021061,GSM1021062,GSM1021063,GSM1021064,GSM1021065,GSM1021067,GSM1021069,GSM1021070,GSM1021071,GSM1021072,GSM1021073,GSM1021078,GSM1021080,GSM1021082,GSM1021083,GSM1021084,GSM1021086,GSM1021087
hsa-miR-744*,0,0.000469439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000210173,0.000688884,0,0,0,0,0
hsa-miR-758,0,0.000469439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0,0,0,0,0,0,0,0,0,2.089376242,0,0,0.000210173,0.000688884,0,0,0,0,0
hsa-miR-760,0,0.000469439,2.26026349,1.439870071,0.57276422,1.902280955,2.35704555,0,0.91223565,0.824469678,0,2.07651485,1.388897642,2.849598651,2.726303974,2.476718533,1.86038934,2.776053194,1.846753956,1.251862187,2.662512674,0.001629967,0.000104359,2.050500585,0,2.230782238,0.402101838,0,0.961712261,0.793025762,0,1.042503778,0,0,0.111922679,0,1.696708487,2.548471325,2.159004299,0.040052608,0,1.821928449,2.26026349,2.009521591
hsa-miR-765,2.849598651,3.491563956,2.938773065,1.733143855,1.241005105,2.61236207,3.67090991,2.534191149,2.38360787,3.029934937,0.544990959,2.999607704,3.506924995,4.802989424,3.923131844,4.420569428,2.776053194,5.204957798,4.299891624,4.279327522,4.374995302,3.777238544,5.804732895,4.279327522,1.888982949,5.152925114,0,2.489484758,3.604510202,4.267113117,0,4.887859426,4.751026073,2.837117046,0.019276518,4.189436769,4.493325408,4.493325408,3.356426099,4.751026073,1.943023464,3.310252395,4.350156542,4.723866654
hsa-miR-766,3.166519652,3.963153749,3.182340094,3.223639942,2.938773065,3.182340094,3.554392902,2.866904282,3.134813182,3.688968135,3.570606843,3.325885189,3.438166393,3.339848903,3.119354194,3.372814876,2.866904282,3.506924995,3.570606843,3.325885189,2.967862222,3.538780354,3.651968315,3.491563956,3.884994217,2.849598651,3.707088085,3.423385611,4.646481086,2.146091542,3.760961501,3.84809489,2.037535075,3.724778413,2.26026349,2.896779212,3.059056005,3.525091255,3.963153749,3.405507913,4.167457934,2.476718533,3.491563956,3.884994217
hsa-miR-767-3p,3.149864938,3.79651237,2.07651485,2.445586662,2.103987353,2.050500585,2.695824537,2.519805284,2.676827419,3.197211484,2.808936121,1.579780641,1.747316292,0.924313215,1.462322639,1.721255835,2.159004299,3.197211484,2.370657099,3.149864938,1.684799117,2.953166176,3.339848903,3.134813182,3.760961501,2.676827419,0.380026229,3.197211484,1.154593848,3.651968315,3.473839342,3.67090991,3.134813182,3.325885189,3.98193863,3.076165078,2.476718533,3.149864938,3.84809489,3.166519652,3.760961501,1.539540547,3.076165078,2.924850218
hsa-miR-767-5p,0,0.000469439,0,0.310262706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0,1.648833739,2.302707719,0,0.154906893,0.176363426,0,0,0,0.499838262,0,0,0.000210173,0.000688884,1.312643421,1.994937893,0.380026229,0,0
hsa-miR-769-3p,0,0.000469439,0,0,0,0.43464783,0,0,0,0,0,0.29424436,0,0.528126843,0,0,0,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0,0.320319124,1.539540547,0.865520658,0,0,0,0,0,1.042503778,0,0,0.000210173,0.000688884,0.154906893,0.747260573,0,0,0
hsa-miR-769-5p,3.554392902,4.189436769,3.104581722,3.423385611,3.076165078,3.941958198,3.182340094,3.239660542,3.339848903,2.476718533,3.239660542,3.473839342,3.619077465,2.089376242,2.837117046,2.629382005,3.325885189,2.07651485,2.28768034,2.967862222,2.316414729,2.911289648,2.821983801,2.504502275,1.648833739,0.793025762,0,0,0.084393048,1.955894582,0,1.251862187,1.710613927,2.370657099,0.152286117,0,1.981381985,2.28768034,3.223639942,0,0.222468128,0,1.47482388,2.103987353
hsa-miR-770-5p,0,0.000469439,0,0,0,2.743730537,0,0,0,0,0,0.271914459,0,0.91223565,0,0,1.554635774,0.000469439,0.000210173,2.37E-05,0,0.001629967,0.000104359,0,0,0,0,0,0,0,1.066427085,0,0.211754859,0.802251438,0,0,0,0.000210173,0.000688884,0.802251438,0,0,0,0
